ID,Nom,Adresse,Latitude,Longitude
57d00060-6ebf-4f91-9ad6-54512ba957fc,"A padel","A padel; Chem. de Pézilla; 66300 Thuir; France",42.5991465,2.7423357
e7ab1efe-b616-4754-b3b2-8b40474a9fa3,"Achicourt padel municipal","Rue d'Agny; 62217 Achicourt-lès-Hagerue; France",46.603354,1.8883335
f9c649c2-53ca-4b6a-9610-59337d6bf239,"Agnetz tennis club","Rue Joseph Van-Lancker
60600 Agnetz",49.3863703,2.3859804
6985ca53-31c0-44c1-812c-1e56e3be93ad,"ALPE D'HUEZ (L) TENNIS CLUB","Palais Des Sports; 38750 Huez",45.0901614,6.0696079
e62045bf-b0bc-44c3-ba39-16f41c7ad1ad,"AS SOUSTONS TENNIS","Rue du Collège; 40140 Soustons; France",43.7518495,-1.334141
3d1b0223-4497-4667-bb20-3c8399bc5a70,"Assoc Tennis Club Corenc Montfleury","9 Chem. de la Croix de Montfleury; 38700 Corenc; France",45.2440945,5.7682993
182bd176-c1c1-4a10-89ce-adae5a982e25,"Auron - Groupe Ultra","Auron; 06660 Saint-Étienne-de-Tinée",44.2262702,6.9309839
9bf43c7b-06e8-4129-887a-da06c8d38829,"Avoriaz municipalité","Avoriaz; 74110",46.1925439,6.7702857
68fbbaa5-65e5-45a8-a400-a95e4cdecdd5,"B59","1 Allée Louis 14; 59600 Maubeuge",50.3087472,3.9995542
ebb2286e-8e5f-4eb3-91a1-e000ae4af5dc,"BASE DE LOISIRS DE BOMBANNES","Carcans;  33121 Carcans;",45.0785402,-1.043341
c12bc816-b730-4f77-ab70-3bad3501f63f,"Bearn Padel","20 Rte du Bois; 64510 Assat; France",43.2540133,-0.2931077
8f0449b6-ce5a-4848-8cc5-7592743cd05d,"Bocage padel club","Rue Bocage
Sainte-Suzanne 97441; La Réunion",44.2972241,0.1144666
5d071704-51c6-43aa-9fc7-8e0e3ee1fe18,"Bonson padel municipal","Rue du Stade; 42160 Bonson; France",45.5198779,4.2179896
6ffaf53e-b44d-4db7-8247-f4de61eeccb4,"CASTRES OCCITAN PADEL","Chemin de la Bordé Basse À la Vixere; 81100 Castres; France",43.6172506,2.2528836
344f8d2f-6403-4217-afa4-98661918ac35,"CHATUZANGE LE GOUBET TC","580 Chemin de la Pécata; 26300 Chatuzange-le-Goubet; France",45.0021943,5.07063
882e11db-58b2-4bcd-acf6-58106db1907e,"CIGOGNES TENNIS CLUB","usine Alsthom Transport; 65430 Soues; France",43.2066883,0.1002084
f87bf59e-69e4-4daa-879d-af832253a7b9,"Club de Tennis de Bar-Sur-Seine","2 Rue du Stade; 10110 Bar-sur-Seine; France",48.1211259,4.3721187
fcb23939-b938-4325-8e72-b62173a6ded9,"Club de tennis de mesquer","44420 Mesquer",47.3991145,-2.4595913
388d7363-615c-42a6-948a-48dec0b86319,"Complexe Sportif de la Terre des Lièvres","109 Chem. de Crépieux; 69300 Caluire-et-Cuire; France",45.7986274,4.857473
083001d5-0edf-471e-a4c7-7d8648553853,"Complexe Sportif Marcel Faure","Av. Général de Gaulle; 11110 Coursan",43.233743,3.0509129
3135397e-b8ac-4ff8-a48d-c33f8e37e6cd,"Complexe Tennis Tyrosse","Plaine des Sportd; Av. du Poun de Burry; 40230 Saint-Vincent-de-Tyrosse; France",43.6531586,-1.2640493
95f9b3c9-a43f-4cc2-9b30-b0010588e59e,"COULOUNIEIX-CH","stade pareau
Rue Jean Bouin
24660 COULOUNIEIX-CHAMIERS",45.1195933,0.7093946
ee061081-7a24-4f04-b944-205b10627e3c,"Crapaud padel club","Sillans",45.343098,5.3915
5178c908-3e57-402f-af5e-7a863731bf36,"CROISSY BEAUBOURG AT","stade jb lemarie; 3 Rue de Paris; 77183 Croissy-Beaubourg",48.8162426,2.6530007
0adbc5a1-bcda-4ad8-b5a2-2dc126d79de1,"Élesmes tennis","59600 Élesmes; France",50.3080764,4.0097998
066debae-7b80-4acd-b04c-faacb4c68e15,"ENTENTE TENNISTIQUE MALEPERE","LE; Rue du Colombier; 11610 Pennautier; France",43.2662875,2.3009974
10544315-a761-4beb-8e2a-a82ddbd5d752,"Flavacourt","60590 Flavacourt; France",49.3372921,1.8418948
da892de8-ad52-4e61-a775-59128931e2b6,"Gravity Padel Arena (automatique)","6 Rue Apollo; Z.A. Ariane; 57400 Buhl-Lorraine; France",48.7253,7.0853
ce7c8249-b449-4181-9978-88454bb0f08b,"GUERIGNY URZY A.S.","Stade Municipal; 58130 Guérigny; France",47.0866061,3.1937606
